Obama	0	Obama Inaugural Address 20th January 2009    My fellow citizens:  I stand here today humbled by the task before us, grateful for the trust you have bestowed, mindful of the sacrifices borne by our ancestors.
Obama	0	I thank President Bush for his service to our nation, as well as the generosity and cooperation he has shown throughout this transition.
Obama	0	Forty-four Americans have now taken the presidential oath.
Obama	0	The words have been spoken during rising tides of prosperity and the still waters of peace.
Obama	0	Yet, every so often the oath is taken amidst gathering clouds and raging storms.
Obama	0	At these moments, America has carried on not simply because of the skill or vision of those in high office, but because We the People have remained faithful to the ideals of our forbearers, and true to our founding documents.
Obama	0	So it has been.
Obama	0	So it must be with this generation of Americans.
Obama	0	That we are in the midst of crisis is now well understood.
Obama	0	Our nation is at war, against a far-reaching network of violence and hatred.
Obama	0	Our economy is badly weakened, a consequence of greed and irresponsibility on the part of some, but also our collective failure to make hard choices and prepare the nation for a new age.
Obama	0	Homes have been lost; jobs shed; businesses shuttered.
Obama	0	Our health care is too costly; our schools fail too many; and each day brings further evidence that the ways we use energy strengthen our adversaries and threaten our planet.
Obama	0	These are the indicators of crisis, subject to data and statistics.
Obama	0	Less measurable but no less profound is a sapping of confidence across our land - a nagging fear that America's decline is inevitable, and that the next generation must lower its sights.
Obama	0	Today I say to you that the challenges we face are real.
Obama	0	They are serious and they are many.
Obama	0	They will not be met easily or in a short span of time.
Obama	0	But know this, America - they will be met.
Obama	0	On this day, we gather because we have chosen hope over fear, unity of purpose over conflict and discord.
Obama	0	On this day, we come to proclaim an end to the petty grievances and false promises, the recriminations and worn out dogmas, that for far too long have strangled our politics.
Obama	0	We remain a young nation, but in the words of Scripture, the time has come to set aside childish things.
Obama	0	The time has come to reaffirm our enduring spirit; to choose our better history; to carry forward that precious gift, that noble idea, passed on from generation to generation: the God-given promise that all are equal, all are free, and all deserve a chance to pursue their full measure of happiness.
Obama	0	In reaffirming the greatness of our nation, we understand that greatness is never a given.
Obama	0	It must be earned.
Obama	0	Our journey has never been one of short-cuts or settling for less.
Obama	0	It has not been the path for the faint-hearted - for those who prefer leisure over work, or seek only the pleasures of riches and fame.
Obama	0	Rather, it has been the risk-takers, the doers, the makers of things - some celebrated but more often men and women obscure in their labor, who have carried us up the long, rugged path towards prosperity and freedom.
Obama	0	For us, they packed up their few worldly possessions and traveled across oceans in search of a new life.
Obama	0	For us, they toiled in sweatshops and settled the West; endured the lash of the whip and plowed the hard earth.
Obama	0	For us, they fought and died, in places like Concord and Gettysburg; Normandy and Khe Sahn.
Obama	0	Time and again these men and women struggled and sacrificed and worked till their hands were raw so that we might live a better life.
